Abbildung,图示/图,Die Abbildung zeigt die empirische Verteilung der Daten.（该图展示了数据的经验分布。）
Khinchine,Khinchine 定理,Der Begriff Khinchine ist in der Statistik ein wichtiger Fachausdruck.（术语 Khinchine 是统计学中的重要专业表达，意思是Khinchine 定理。）
Köln,科隆,Der Begriff Köln ist in der Statistik ein wichtiger Fachausdruck.（术语 Köln 是统计学中的重要专业表达，意思是科隆。）
Kolmogorov-Axiome,Kolmogorov 公理,Der Begriff Kolmogorov-Axiome ist in der Statistik ein wichtiger Fachausdruck.（术语 Kolmogorov-Axiome 是统计学中的重要专业表达，意思是Kolmogorov 公理。）
Kombinatorik,组合数学,Der Begriff Kombinatorik ist in der Statistik ein wichtiger Fachausdruck.（术语 Kombinatorik 是统计学中的重要专业表达，意思是组合数学。）
Komplement,补集,Der Begriff Komplement ist in der Statistik ein wichtiger Fachausdruck.（术语 Komplement 是统计学中的重要专业表达，意思是补集。）
konfidenz,置信,Der Begriff konfidenz ist in der Statistik ein wichtiger Fachausdruck.（术语 konfidenz 是统计学中的重要专业表达，意思是置信。）
Konfidenzintervall,置信区间,Ein Konfidenzintervall quantifiziert die Unsicherheit einer Schätzung.（置信区间量化估计的不确定性。）
konkordant,协同的,Der Begriff konkordant ist in der Statistik ein wichtiger Fachausdruck.（术语 konkordant 是统计学中的重要专业表达，意思是协同的。）
Kontingenztafel,列联表,Der Begriff Kontingenztafel ist in der Statistik ein wichtiger Fachausdruck.（术语 Kontingenztafel 是统计学中的重要专业表达，意思是列联表。）
Konvergenz,收敛,Die Konvergenz beschreibt das Grenzverhalten einer Folge von Zufallsvariablen.（收敛描述随机变量序列的极限行为。）
Konvergenz im Moment,矩收敛,Die Konvergenz im Moment beschreibt das Grenzverhalten einer Folge von Zufallsvariablen.（矩收敛描述随机变量序列的极限行为。）
Konvergenz in Verteilung,依分布收敛,"Die Konvergenz in Verteilung beschreibt, wie Wahrscheinlichkeiten auf mögliche Werte verteilt sind.（依分布收敛描述概率如何分布在可能取值上。）"
Konvergenz in Wahrscheinlichkeit,依概率收敛,Der Begriff Konvergenz in Wahrscheinlichkeit muss im jeweiligen Wahrscheinlichkeitsmodell präzise definiert werden.（依概率收敛这个概念必须在相应概率模型中被精确定义。）
Konzentration,集中度,Der Begriff Konzentration ist in der Statistik ein wichtiger Fachausdruck.（术语 Konzentration 是统计学中的重要专业表达，意思是集中度。）
Koordinatensystem,坐标系,Der Begriff Koordinatensystem ist in der Statistik ein wichtiger Fachausdruck.（术语 Koordinatensystem 是统计学中的重要专业表达，意思是坐标系。）
Korrelation,相关,Eine hohe Korrelation beweist keine Kausalität.（高度相关不能证明因果关系。）
Korrelationskoeffizient,相关系数,Der Begriff Korrelationskoeffizient ist in der Statistik ein wichtiger Fachausdruck.（术语 Korrelationskoeffizient 是统计学中的重要专业表达，意思是相关系数。）
Korrelationsmatrix,相关矩阵,Der Begriff Korrelationsmatrix fasst mehrere zusammengehörige Größen in Tabellenform zusammen.（相关矩阵以表格形式汇总多个相关量。）
Kovarianz,协方差,Die Kovarianz misst die gemeinsame lineare Veränderung zweier Variablen.（协方差衡量两个变量的共同线性变化。）
Kovarianzmatrix,协方差矩阵,Der Begriff Kovarianzmatrix fasst mehrere zusammengehörige Größen in Tabellenform zusammen.（协方差矩阵以表格形式汇总多个相关量。）
Kranke,患病者,Der Begriff Kranke ist in der Statistik ein wichtiger Fachausdruck.（术语 Kranke 是统计学中的重要专业表达，意思是患病者。）
Krankheit,疾病,Der Begriff Krankheit ist in der Statistik ein wichtiger Fachausdruck.（术语 Krankheit 是统计学中的重要专业表达，意思是疾病。）
Kreisdiagramm,饼图,Der Begriff Kreisdiagramm ist in der Statistik ein wichtiger Fachausdruck.（术语 Kreisdiagramm 是统计学中的重要专业表达，意思是饼图。）
kumulative Verteilungsfunktion,累积分布函数,"Die kumulative Verteilungsfunktion beschreibt, wie Wahrscheinlichkeiten auf mögliche Werte verteilt sind.（累积分布函数描述概率如何分布在可能取值上。）"
Kurtosis,峰度,Der Begriff Kurtosis ist in der Statistik ein wichtiger Fachausdruck.（术语 Kurtosis 是统计学中的重要专业表达，意思是峰度。）
Längsschnittdaten,纵向数据,"Der Begriff Längsschnittdaten verweist auf Informationen, die vor der statistischen Analyse sorgfältig geprüft werden müssen.（纵向数据指统计分析前必须仔细检查的信息。）"
Lagemaß,位置指标,Der Begriff Lagemaß ordnet mathematischen Objekten eine interpretierbare Größe zu.（位置指标给数学对象赋予可解释的大小。）
Lagemaße,位置指标,Der Begriff Lagemaße ordnet mathematischen Objekten eine interpretierbare Größe zu.（位置指标给数学对象赋予可解释的大小。）
Laplace-Prinzip,Laplace 原理,Der Begriff Laplace-Prinzip ist in der Statistik ein wichtiger Fachausdruck.（术语 Laplace-Prinzip 是统计学中的重要专业表达，意思是Laplace 原理。）
Lebesgue-Integral,Lebesgue 积分,Der Erwartungswert wird maßtheoretisch als Lebesgue-Integral definiert.（在测度论中，期望被定义为 Lebesgue 积分。）
Lebesgue-Maß,Lebesgue 测度,Der Begriff Lebesgue-Maß ordnet mathematischen Objekten eine interpretierbare Größe zu.（Lebesgue 测度给数学对象赋予可解释的大小。）
Likelihood,似然,Der Begriff Likelihood ist in der Statistik ein wichtiger Fachausdruck.（术语 Likelihood 是统计学中的重要专业表达，意思是似然。）
Likelihood Ratio,似然比,Der Begriff Likelihood Ratio ist in der Statistik ein wichtiger Fachausdruck.（术语 Likelihood Ratio 是统计学中的重要专业表达，意思是似然比。）
linearer Zusammenhang,线性关系,Der Begriff linearer Zusammenhang ist in der Statistik ein wichtiger Fachausdruck.（术语 linearer Zusammenhang 是统计学中的重要专业表达，意思是线性关系。）
Linie,线,Der Begriff Linie ist in der Statistik ein wichtiger Fachausdruck.（术语 Linie 是统计学中的重要专业表达，意思是线。）
Literatur,文献,Der Begriff Literatur ist in der Statistik ein wichtiger Fachausdruck.（术语 Literatur 是统计学中的重要专业表达，意思是文献。）
Lizenz,授权,Der Begriff Lizenz ist in der Statistik ein wichtiger Fachausdruck.（术语 Lizenz 是统计学中的重要专业表达，意思是授权。）
Lorenzkurve,Lorenz 曲线,Der Begriff Lorenzkurve ist in der Statistik ein wichtiger Fachausdruck.（术语 Lorenzkurve 是统计学中的重要专业表达，意思是Lorenz 曲线。）
Mächtigkeit,势/基数,Der Begriff Mächtigkeit spielt bei der Interpretation statistischer Ergebnisse eine wichtige Rolle.（势/基数在解释统计结果时很重要。）
Markov Chain Monte Carlo,Markov 链 Monte Carlo,Der Begriff Markov Chain Monte Carlo ist in der Statistik ein wichtiger Fachausdruck.（术语 Markov Chain Monte Carlo 是统计学中的重要专业表达，意思是Markov 链 Monte Carlo。）
Markov-Eigenschaft,Markov 性,Der Begriff Markov-Eigenschaft ist in der Statistik ein wichtiger Fachausdruck.（术语 Markov-Eigenschaft 是统计学中的重要专业表达，意思是Markov 性。）
Markov-Kette,Markov 链,In einer Markov-Kette hängt die Zukunft bedingt auf die Gegenwart nicht von der Vergangenheit ab.（在 Markov 链中，给定现在后，未来不依赖过去。）
Markov-Ungleichung,Markov 不等式,Der Begriff Markov-Ungleichung spielt bei der Interpretation statistischer Ergebnisse eine wichtige Rolle.（Markov 不等式在解释统计结果时很重要。）
Masern,麻疹,Der Begriff Masern ist in der Statistik ein wichtiger Fachausdruck.（术语 Masern 是统计学中的重要专业表达，意思是麻疹。）
Maß,测度,Der Begriff Maß ordnet mathematischen Objekten eine interpretierbare Größe zu.（测度给数学对象赋予可解释的大小。）
Masseindeutigkeitssatz,测度唯一性定理,Der Begriff Masseindeutigkeitssatz ordnet mathematischen Objekten eine interpretierbare Größe zu.（测度唯一性定理给数学对象赋予可解释的大小。）
Maßraum,测度空间,Der Begriff Maßraum ordnet mathematischen Objekten eine interpretierbare Größe zu.（测度空间给数学对象赋予可解释的大小。）
MCMC,Markov 链 Monte Carlo,Der Begriff MCMC ist in der Statistik ein wichtiger Fachausdruck.（术语 MCMC 是统计学中的重要专业表达，意思是Markov 链 Monte Carlo。）
Median,中位数,Der Median ist robuster gegenüber Ausreißern als das arithmetische Mittel.（中位数比算术平均数更抗离群值。）
Mediator,中介变量,Der Begriff Mediator ist in der Statistik ein wichtiger Fachausdruck.（术语 Mediator 是统计学中的重要专业表达，意思是中介变量。）
Menge,集合,Der Begriff Menge ist in der Statistik ein wichtiger Fachausdruck.（术语 Menge 是统计学中的重要专业表达，意思是集合。）
Mengensystem,集合系统,Der Begriff Mengensystem ist in der Statistik ein wichtiger Fachausdruck.（术语 Mengensystem 是统计学中的重要专业表达，意思是集合系统。）
Merkmal,变量/特征,Der Begriff Merkmal ist in der Statistik ein wichtiger Fachausdruck.（术语 Merkmal 是统计学中的重要专业表达，意思是变量/特征。）
Merkmalsausprägung,特征取值,Der Begriff Merkmalsausprägung spielt bei der Interpretation statistischer Ergebnisse eine wichtige Rolle.（特征取值在解释统计结果时很重要。）
Merkmalsraum,特征空间,Der Begriff Merkmalsraum ist in der Statistik ein wichtiger Fachausdruck.（术语 Merkmalsraum 是统计学中的重要专业表达，意思是特征空间。）
Merkmalssumme,特征总量,Der Begriff Merkmalssumme ist in der Statistik ein wichtiger Fachausdruck.（术语 Merkmalssumme 是统计学中的重要专业表达，意思是特征总量。）
messbar,可测的,Der Begriff messbar ist in der Statistik ein wichtiger Fachausdruck.（术语 messbar 是统计学中的重要专业表达，意思是可测的。）
messbare Abbildung,可测映射,Der Begriff messbare Abbildung spielt bei der Interpretation statistischer Ergebnisse eine wichtige Rolle.（可测映射在解释统计结果时很重要。）
Messung,测量,Der Begriff Messung spielt bei der Interpretation statistischer Ergebnisse eine wichtige Rolle.（测量在解释统计结果时很重要。）
metrisches Merkmal,度量变量,Der Begriff metrisches Merkmal ist in der Statistik ein wichtiger Fachausdruck.（术语 metrisches Merkmal 是统计学中的重要专业表达，意思是度量变量。）
Miete,租金,Der Begriff Miete ist in der Statistik ein wichtiger Fachausdruck.（术语 Miete 是统计学中的重要专业表达，意思是租金。）
Mietpreis,租金价格,Der Begriff Mietpreis ist in der Statistik ein wichtiger Fachausdruck.（术语 Mietpreis 是统计学中的重要专业表达，意思是租金价格。）
Mietspiegel,租金参考表,Der Begriff Mietspiegel ist in der Statistik ein wichtiger Fachausdruck.（术语 Mietspiegel 是统计学中的重要专业表达，意思是租金参考表。）
Mischverteilung,混合分布,"Die Mischverteilung beschreibt, wie Wahrscheinlichkeiten auf mögliche Werte verteilt sind.（混合分布描述概率如何分布在可能取值上。）"
mit Zurücklegen,有放回,Der Begriff mit Zurücklegen ist in der Statistik ein wichtiger Fachausdruck.（术语 mit Zurücklegen 是统计学中的重要专业表达，意思是有放回。）
Mittelwert,平均数,Der Begriff Mittelwert ist in der Statistik ein wichtiger Fachausdruck.（术语 Mittelwert 是统计学中的重要专业表达，意思是平均数。）
Modell,模型,Der Begriff Modell ist in der Statistik ein wichtiger Fachausdruck.（术语 Modell 是统计学中的重要专业表达，意思是模型。）
Modus,众数,Der Begriff Modus ist in der Statistik ein wichtiger Fachausdruck.（术语 Modus 是统计学中的重要专业表达，意思是众数。）
Moment,矩,Der Begriff Moment ist in der Statistik ein wichtiger Fachausdruck.（术语 Moment 是统计学中的重要专业表达，意思是矩。）
momenterzeugende Funktion,矩母函数,"Der Begriff momenterzeugende Funktion wird verwendet, um eine Verteilung oder eine Transformation formal zu beschreiben.（矩母函数用于形式化描述分布或变换。）"
Monte-Carlo-Verfahren,Monte Carlo 方法,Der Begriff Monte-Carlo-Verfahren ist in der Statistik ein wichtiger Fachausdruck.（术语 Monte-Carlo-Verfahren 是统计学中的重要专业表达，意思是Monte Carlo 方法。）
Mosaikplot,马赛克图,Der Begriff Mosaikplot ist in der Statistik ein wichtiger Fachausdruck.（术语 Mosaikplot 是统计学中的重要专业表达，意思是马赛克图。）
multinomial,多项的,Der Begriff multinomial ist in der Statistik ein wichtiger Fachausdruck.（术语 multinomial 是统计学中的重要专业表达，意思是多项的。）
Multinomialverteilung,多项分布,"Die Multinomialverteilung beschreibt, wie Wahrscheinlichkeiten auf mögliche Werte verteilt sind.（多项分布描述概率如何分布在可能取值上。）"
multivariate Normalverteilung,多元正态分布,"Die multivariate Normalverteilung beschreibt, wie Wahrscheinlichkeiten auf mögliche Werte verteilt sind.（多元正态分布描述概率如何分布在可能取值上。）"
negative Binomialverteilung,负二项分布,"Die negative Binomialverteilung beschreibt, wie Wahrscheinlichkeiten auf mögliche Werte verteilt sind.（负二项分布描述概率如何分布在可能取值上。）"
negativer prädiktiver Wert,阴性预测值,Der Begriff negativer prädiktiver Wert ist in der Statistik ein wichtiger Fachausdruck.（术语 negativer prädiktiver Wert 是统计学中的重要专业表达，意思是阴性预测值。）
Nominalskala,名义尺度,Der Begriff Nominalskala ist in der Statistik ein wichtiger Fachausdruck.（术语 Nominalskala 是统计学中的重要专业表达，意思是名义尺度。）
Norm,范数,Der Begriff Norm ist in der Statistik ein wichtiger Fachausdruck.（术语 Norm 是统计学中的重要专业表达，意思是范数。）
Normalverteilung,正态分布,Die Normalverteilung spielt im zentralen Grenzwertsatz eine zentrale Rolle.（正态分布在中心极限定理中起核心作用。）
Normiertheit,规范化,Der Begriff Normiertheit ist in der Statistik ein wichtiger Fachausdruck.（术语 Normiertheit 是统计学中的重要专业表达，意思是规范化。）
Nullhypothese,零假设,Der Begriff Nullhypothese ist in der Statistik ein wichtiger Fachausdruck.（术语 Nullhypothese 是统计学中的重要专业表达，意思是零假设。）
Odds,赔率,Der Begriff Odds ist in der Statistik ein wichtiger Fachausdruck.（术语 Odds 是统计学中的重要专业表达，意思是赔率。）
Odds Ratio,优势比,Der Begriff Odds Ratio ist in der Statistik ein wichtiger Fachausdruck.（术语 Odds Ratio 是统计学中的重要专业表达，意思是优势比。）
ohne Zurücklegen,无放回,Der Begriff ohne Zurücklegen ist in der Statistik ein wichtiger Fachausdruck.（术语 ohne Zurücklegen 是统计学中的重要专业表达，意思是无放回。）
Operationalisierung,操作化定义/操作化测量,Der Begriff Operationalisierung spielt bei der Interpretation statistischer Ergebnisse eine wichtige Rolle.（操作化定义/操作化测量在解释统计结果时很重要。）
Ordinalskala,顺序尺度,Der Begriff Ordinalskala ist in der Statistik ein wichtiger Fachausdruck.（术语 Ordinalskala 是统计学中的重要专业表达，意思是顺序尺度。）
Paneldaten,面板数据,"Der Begriff Paneldaten verweist auf Informationen, die vor der statistischen Analyse sorgfältig geprüft werden müssen.（面板数据指统计分析前必须仔细检查的信息。）"
Parameter,参数,Der Begriff Parameter ist in der Statistik ein wichtiger Fachausdruck.（术语 Parameter 是统计学中的重要专业表达，意思是参数。）
Parameterschätzung,参数估计,Der Begriff Parameterschätzung spielt bei der Interpretation statistischer Ergebnisse eine wichtige Rolle.（参数估计在解释统计结果时很重要。）
Pareto-Verteilung,Pareto 分布,"Die Pareto-Verteilung beschreibt, wie Wahrscheinlichkeiten auf mögliche Werte verteilt sind.（Pareto 分布描述概率如何分布在可能取值上。）"
Partei,政党,Der Begriff Partei ist in der Statistik ein wichtiger Fachausdruck.（术语 Partei 是统计学中的重要专业表达，意思是政党。）
Passagier,乘客,Der Begriff Passagier ist in der Statistik ein wichtiger Fachausdruck.（术语 Passagier 是统计学中的重要专业表达，意思是乘客。）
Patient,患者,Der Begriff Patient ist in der Statistik ein wichtiger Fachausdruck.（术语 Patient 是统计学中的重要专业表达，意思是患者。）
Pearson-Korrelation,Pearson 相关,Der Begriff Pearson-Korrelation ist in der Statistik ein wichtiger Fachausdruck.（术语 Pearson-Korrelation 是统计学中的重要专业表达，意思是Pearson 相关。）
Pearson-Residuum,Pearson 残差,Der Begriff Pearson-Residuum ist in der Statistik ein wichtiger Fachausdruck.（术语 Pearson-Residuum 是统计学中的重要专业表达，意思是Pearson 残差。）
Person,个人/人员,Der Begriff Person ist in der Statistik ein wichtiger Fachausdruck.（术语 Person 是统计学中的重要专业表达，意思是个人/人员。）
Poisson-Prozess,Poisson 过程,Der Begriff Poisson-Prozess ist in der Statistik ein wichtiger Fachausdruck.（术语 Poisson-Prozess 是统计学中的重要专业表达，意思是Poisson 过程。）
Poisson-Verteilung,Poisson 分布,Die Poisson-Verteilung modelliert häufig die Anzahl seltener Ereignisse in einem Zeitintervall.（Poisson 分布常刻画某时间区间内稀有事件的次数。）
Population,总体,Der Begriff Population ist in der Statistik ein wichtiger Fachausdruck.（术语 Population 是统计学中的重要专业表达，意思是总体。）
Portmanteau,Portmanteau 定理,Der Begriff Portmanteau ist in der Statistik ein wichtiger Fachausdruck.（术语 Portmanteau 是统计学中的重要专业表达，意思是Portmanteau 定理。）
positiver prädiktiver Wert,阳性预测值,Der Begriff positiver prädiktiver Wert ist in der Statistik ein wichtiger Fachausdruck.（术语 positiver prädiktiver Wert 是统计学中的重要专业表达，意思是阳性预测值。）
Potenzmenge,幂集,Der Begriff Potenzmenge ist in der Statistik ein wichtiger Fachausdruck.（术语 Potenzmenge 是统计学中的重要专业表达，意思是幂集。）
Prädiktion,预测,Der Begriff Prädiktion ist in der Statistik ein wichtiger Fachausdruck.（术语 Prädiktion 是统计学中的重要专业表达，意思是预测。）
Prävalenz,患病率/基础率,Der Begriff Prävalenz ist in der Statistik ein wichtiger Fachausdruck.（术语 Prävalenz 是统计学中的重要专业表达，意思是患病率/基础率。）
Produktmaß,乘积测度,Der Begriff Produktmaß ordnet mathematischen Objekten eine interpretierbare Größe zu.（乘积测度给数学对象赋予可解释的大小。）
Prognose,预测,Der Begriff Prognose ist in der Statistik ein wichtiger Fachausdruck.（术语 Prognose 是统计学中的重要专业表达，意思是预测。）
Quantil,分位数,"Das 0,5-Quantil entspricht einem Median der Verteilung.（0.5 分位数对应分布的一个中位数。）"
Quantilsfunktion,分位数函数,"Der Begriff Quantilsfunktion wird verwendet, um eine Verteilung oder eine Transformation formal zu beschreiben.（分位数函数用于形式化描述分布或变换。）"
Quelle,来源,Der Begriff Quelle ist in der Statistik ein wichtiger Fachausdruck.（术语 Quelle 是统计学中的重要专业表达，意思是来源。）
Querschnittsdaten,横截面数据,"Der Begriff Querschnittsdaten verweist auf Informationen, die vor der statistischen Analyse sorgfältig geprüft werden müssen.（横截面数据指统计分析前必须仔细检查的信息。）"
Radon-Nikodym-Dichte,Radon-Nikodym 密度,Der Begriff Radon-Nikodym-Dichte ist in der Statistik ein wichtiger Fachausdruck.（术语 Radon-Nikodym-Dichte 是统计学中的重要专业表达，意思是Radon-Nikodym 密度。）
Randhäufigkeit,边际频数,Der Begriff Randhäufigkeit spielt bei der Interpretation statistischer Ergebnisse eine wichtige Rolle.（边际频数在解释统计结果时很重要。）
Random Walk,随机游走,Der Begriff Random Walk ist in der Statistik ein wichtiger Fachausdruck.（术语 Random Walk 是统计学中的重要专业表达，意思是随机游走。）
Randverteilung,边际分布,Die Randverteilung erhält man aus der gemeinsamen Verteilung durch Summation oder Integration.（边际分布可由联合分布通过求和或积分得到。）
Rang,秩,Der Begriff Rang ist in der Statistik ein wichtiger Fachausdruck.（术语 Rang 是统计学中的重要专业表达，意思是秩。）
Rangkorrelation,秩相关,Der Begriff Rangkorrelation ist in der Statistik ein wichtiger Fachausdruck.（术语 Rangkorrelation 是统计学中的重要专业表达，意思是秩相关。）
Rate,率,Der Begriff Rate ist in der Statistik ein wichtiger Fachausdruck.（术语 Rate 是统计学中的重要专业表达，意思是率。）
Rechteck,矩形,Der Begriff Rechteck ist in der Statistik ein wichtiger Fachausdruck.（术语 Rechteck 是统计学中的重要专业表达，意思是矩形。）
rechtsstetig,右连续,Der Begriff rechtsstetig ist in der Statistik ein wichtiger Fachausdruck.（术语 rechtsstetig 是统计学中的重要专业表达，意思是右连续。）
Regelmäßigkeit,规律性,Der Begriff Regelmäßigkeit spielt bei der Interpretation statistischer Ergebnisse eine wichtige Rolle.（规律性在解释统计结果时很重要。）
Regen,降雨,Der Begriff Regen ist in der Statistik ein wichtiger Fachausdruck.（术语 Regen 是统计学中的重要专业表达，意思是降雨。）
relative Häufigkeit,相对频率,Der Begriff relative Häufigkeit spielt bei der Interpretation statistischer Ergebnisse eine wichtige Rolle.（相对频率在解释统计结果时很重要。）
Residuum,残差,Der Begriff Residuum ist in der Statistik ein wichtiger Fachausdruck.（术语 Residuum 是统计学中的重要专业表达，意思是残差。）
robust,稳健的,Der Begriff robust ist in der Statistik ein wichtiger Fachausdruck.（术语 robust 是统计学中的重要专业表达，意思是稳健的。）
ROC-Kurve,ROC 曲线,Der Begriff ROC-Kurve ist in der Statistik ein wichtiger Fachausdruck.（术语 ROC-Kurve 是统计学中的重要专业表达，意思是ROC 曲线。）
Satz,定理,Der Begriff Satz ist in der Statistik ein wichtiger Fachausdruck.（术语 Satz 是统计学中的重要专业表达，意思是定理。）
Satz vom iterierten Erwartungswert,迭代期望定理,Der Begriff Satz vom iterierten Erwartungswert ist in der Statistik ein wichtiger Fachausdruck.（术语 Satz vom iterierten Erwartungswert 是统计学中的重要专业表达，意思是迭代期望定理。）
Satz von Bayes,Bayes 定理,Der Begriff Satz von Bayes ist in der Statistik ein wichtiger Fachausdruck.（术语 Satz von Bayes 是统计学中的重要专业表达，意思是Bayes 定理。）
Satz von der totalen Varianz,全方差公式,Der Begriff Satz von der totalen Varianz ist in der Statistik ein wichtiger Fachausdruck.（术语 Satz von der totalen Varianz 是统计学中的重要专业表达，意思是全方差公式。）
Satz von Fubini,Fubini 定理,Der Begriff Satz von Fubini ist in der Statistik ein wichtiger Fachausdruck.（术语 Satz von Fubini 是统计学中的重要专业表达，意思是Fubini 定理。）
Satz von Radon-Nikodym,Radon-Nikodym 定理,Der Begriff Satz von Radon-Nikodym ist in der Statistik ein wichtiger Fachausdruck.（术语 Satz von Radon-Nikodym 是统计学中的重要专业表达，意思是Radon-Nikodym 定理。）
Scatterplot,散点图,Der Begriff Scatterplot ist in der Statistik ein wichtiger Fachausdruck.（术语 Scatterplot 是统计学中的重要专业表达，意思是散点图。）
Scatterplotmatrix,散点矩阵,Der Begriff Scatterplotmatrix fasst mehrere zusammengehörige Größen in Tabellenform zusammen.（散点矩阵以表格形式汇总多个相关量。）
Schätzer,估计量,Der Begriff Schätzer ist in der Statistik ein wichtiger Fachausdruck.（术语 Schätzer 是统计学中的重要专业表达，意思是估计量。）
Schätzung,估计,"Eine Schätzung nutzt Stichprobendaten, um einen unbekannten Parameter zu bestimmen.（估计利用样本数据确定未知参数。）"
Schiefe,偏度,Der Begriff Schiefe ist in der Statistik ein wichtiger Fachausdruck.（术语 Schiefe 是统计学中的重要专业表达，意思是偏度。）
Schweiz,瑞士,Der Begriff Schweiz ist in der Statistik ein wichtiger Fachausdruck.（术语 Schweiz 是统计学中的重要专业表达，意思是瑞士。）
Schwellenwert,阈值,Der Begriff Schwellenwert ist in der Statistik ein wichtiger Fachausdruck.（术语 Schwellenwert 是统计学中的重要专业表达，意思是阈值。）
Selektionsbias,选择偏差,Der Begriff Selektionsbias ist in der Statistik ein wichtiger Fachausdruck.（术语 Selektionsbias 是统计学中的重要专业表达，意思是选择偏差。）
Sensitivität,敏感性,Der Begriff Sensitivität ist in der Statistik ein wichtiger Fachausdruck.（术语 Sensitivität 是统计学中的重要专业表达，意思是敏感性。）
σ-Additivität,σ-可加性,Der Begriff σ-Additivität ist in der Statistik ein wichtiger Fachausdruck.（术语 σ-Additivität 是统计学中的重要专业表达，意思是σ-可加性。）
σ-Algebra,σ-代数,Der Begriff σ-Algebra ist in der Statistik ein wichtiger Fachausdruck.（术语 σ-Algebra 是统计学中的重要专业表达，意思是σ-代数。）
Simpson-Paradox,辛普森悖论,Der Begriff Simpson-Paradox ist in der Statistik ein wichtiger Fachausdruck.（术语 Simpson-Paradox 是统计学中的重要专业表达，意思是辛普森悖论。）
Simulation,模拟,Der Begriff Simulation ist in der Statistik ein wichtiger Fachausdruck.（术语 Simulation 是统计学中的重要专业表达，意思是模拟。）
Skala,尺度/标尺,Der Begriff Skala ist in der Statistik ein wichtiger Fachausdruck.（术语 Skala 是统计学中的重要专业表达，意思是尺度/标尺。）
Skalenniveau,尺度水平,Der Begriff Skalenniveau ist in der Statistik ein wichtiger Fachausdruck.（术语 Skalenniveau 是统计学中的重要专业表达，意思是尺度水平。）
Slutsky,Slutsky 定理,Der Begriff Slutsky ist in der Statistik ein wichtiger Fachausdruck.（术语 Slutsky 是统计学中的重要专业表达，意思是Slutsky 定理。）
Spannweite,极差,Der Begriff Spannweite ist in der Statistik ein wichtiger Fachausdruck.（术语 Spannweite 是统计学中的重要专业表达，意思是极差。）
Spearman-Korrelation,Spearman 秩相关,Der Begriff Spearman-Korrelation ist in der Statistik ein wichtiger Fachausdruck.（术语 Spearman-Korrelation 是统计学中的重要专业表达，意思是Spearman 秩相关。）
Spezifität,特异性,Der Begriff Spezifität ist in der Statistik ein wichtiger Fachausdruck.（术语 Spezifität 是统计学中的重要专业表达，意思是特异性。）
Standardabweichung,标准差,Der Begriff Standardabweichung spielt bei der Interpretation statistischer Ergebnisse eine wichtige Rolle.（标准差在解释统计结果时很重要。）
Standardfehler,标准误,Der Begriff Standardfehler ist in der Statistik ein wichtiger Fachausdruck.（术语 Standardfehler 是统计学中的重要专业表达，意思是标准误。）
standardisierte Residuen,标准化残差,Der Begriff standardisierte Residuen ist in der Statistik ein wichtiger Fachausdruck.（术语 standardisierte Residuen 是统计学中的重要专业表达，意思是标准化残差。）
Standardisierung,标准化,Der Begriff Standardisierung spielt bei der Interpretation statistischer Ergebnisse eine wichtige Rolle.（标准化在解释统计结果时很重要。）
Standardnormalverteilung,标准正态分布,"Die Standardnormalverteilung beschreibt, wie Wahrscheinlichkeiten auf mögliche Werte verteilt sind.（标准正态分布描述概率如何分布在可能取值上。）"
stationäre Verteilung,平稳分布,"Die stationäre Verteilung beschreibt, wie Wahrscheinlichkeiten auf mögliche Werte verteilt sind.（平稳分布描述概率如何分布在可能取值上。）"
statistische Einheit,统计单位,Der Begriff statistische Einheit ist in der Statistik ein wichtiger Fachausdruck.（术语 statistische Einheit 是统计学中的重要专业表达，意思是统计单位。）
stetig,连续的,Der Begriff stetig ist in der Statistik ein wichtiger Fachausdruck.（术语 stetig 是统计学中的重要专业表达，意思是连续的。）
stetige Verteilung,连续分布,"Die stetige Verteilung beschreibt, wie Wahrscheinlichkeiten auf mögliche Werte verteilt sind.（连续分布描述概率如何分布在可能取值上。）"
Stichprobe,样本,Eine Stichprobe ist ein beobachteter Teil der Grundgesamtheit.（样本是总体中被观测到的一部分。）
Stichprobenerhebung,抽样调查,Der Begriff Stichprobenerhebung spielt bei der Interpretation statistischer Ergebnisse eine wichtige Rolle.（抽样调查在解释统计结果时很重要。）
Stichprobenumfang,样本量,Der Begriff Stichprobenumfang ist in der Statistik ein wichtiger Fachausdruck.（术语 Stichprobenumfang 是统计学中的重要专业表达，意思是样本量。）
Stochastik,随机学,Der Begriff Stochastik ist in der Statistik ein wichtiger Fachausdruck.（术语 Stochastik 是统计学中的重要专业表达，意思是随机学。）
stochastisch,随机的,Der Begriff stochastisch ist in der Statistik ein wichtiger Fachausdruck.（术语 stochastisch 是统计学中的重要专业表达，意思是随机的。）
stochastische Unabhängigkeit,随机独立,Der Begriff stochastische Unabhängigkeit spielt bei der Interpretation statistischer Ergebnisse eine wichtige Rolle.（随机独立在解释统计结果时很重要。）
stochastischer Prozess,随机过程,Der Begriff stochastischer Prozess ist in der Statistik ein wichtiger Fachausdruck.（术语 stochastischer Prozess 是统计学中的重要专业表达，意思是随机过程。）
Streuungsmaß,离散指标,Der Begriff Streuungsmaß ordnet mathematischen Objekten eine interpretierbare Größe zu.（离散指标给数学对象赋予可解释的大小。）
Summe,和,Der Begriff Summe ist in der Statistik ein wichtiger Fachausdruck.（术语 Summe 是统计学中的重要专业表达，意思是和。）
